condition	seed	template	benchmark	data_lang	instr_lang	extractor	gold	n_gold	pred_entailment	pred_neutral	pred_contradiction	pred_none	acc_on_gold	via_tier1a_english	via_tier1b_native	via_tier2_glued	via_tier3_paraphrase	tier2_pred_entailment	tier2_cjk_frame
baseline	none	1	xnli	es	ur	refined	neutral	1670	1656	0	13	1	0.0000	1668	1	0	0	0	0
baseline	none	1	xnli	es	zh	refined	entailment	1670	1668	1	1	0	0.9988	1669	1	0	0	0	0
baseline	none	1	xnli	es	zh	refined	contradiction	1670	1660	8	2	0	0.0012	1668	2	0	0	0	0
baseline	none	1	xnli	es	zh	refined	neutral	1670	1668	2	0	0	0.0012	1670	0	0	0	0	0
baseline	none	1	xnli	ur	en	refined	entailment	1670	1110	210	343	7	0.6647	1663	0	0	0	0	0
baseline	none	1	xnli	ur	en	refined	contradiction	1670	562	211	893	4	0.5347	1666	0	0	0	0	0
baseline	none	1	xnli	ur	en	refined	neutral	1670	1044	173	445	8	0.1036	1662	0	0	0	0	0
baseline	none	1	xnli	ur	es	refined	entailment	1670	1624	0	46	0	0.9725	1666	4	0	0	0	0
baseline	none	1	xnli	ur	es	refined	contradiction	1670	1418	9	243	0	0.1455	1668	2	0	0	0	0
baseline	none	1	xnli	ur	es	refined	neutral	1670	1616	0	53	1	0.0000	1662	7	0	0	0	0
baseline	none	1	xnli	ur	ur	refined	entailment	1670	1662	0	2	6	0.9952	1661	3	0	0	0	0
baseline	none	1	xnli	ur	ur	refined	contradiction	1670	1654	5	5	6	0.0030	1662	2	0	0	0	0
baseline	none	1	xnli	ur	ur	refined	neutral	1670	1663	0	0	7	0.0000	1660	3	0	0	0	0
baseline	none	1	xnli	ur	zh	refined	entailment	1670	1645	25	0	0	0.9850	1670	0	0	0	0	0
baseline	none	1	xnli	ur	zh	refined	contradiction	1670	1637	32	1	0	0.0006	1669	1	0	0	0	0
baseline	none	1	xnli	ur	zh	refined	neutral	1670	1656	13	0	1	0.0078	1669	0	0	0	0	0
baseline	none	1	xnli	zh	en	refined	entailment	1670	1656	0	14	0	0.9916	1670	0	0	0	0	0
baseline	none	1	xnli	zh	en	refined	contradiction	1670	1356	13	301	0	0.1802	1670	0	0	0	0	0
baseline	none	1	xnli	zh	en	refined	neutral	1670	1646	0	24	0	0.0000	1670	0	0	0	0	0
baseline	none	1	xnli	zh	es	refined	entailment	1670	1670	0	0	0	1.0000	1670	0	0	0	0	0
baseline	none	1	xnli	zh	es	refined	contradiction	1670	1670	0	0	0	0.0000	1670	0	0	0	0	0
baseline	none	1	xnli	zh	es	refined	neutral	1670	1670	0	0	0	0.0000	1670	0	0	0	0	0
baseline	none	1	xnli	zh	ur	refined	entailment	1670	1670	0	0	0	1.0000	1670	0	0	0	0	0
baseline	none	1	xnli	zh	ur	refined	contradiction	1670	1663	1	6	0	0.0036	1670	0	0	0	0	0
baseline	none	1	xnli	zh	ur	refined	neutral	1670	1669	0	1	0	0.0000	1670	0	0	0	0	0
baseline	none	1	xnli	zh	zh	refined	entailment	1670	1641	0	28	1	0.9826	1641	28	0	0	0	0
baseline	none	1	xnli	zh	zh	refined	contradiction	1670	1642	0	27	1	0.0162	1642	27	0	0	0	0
baseline	none	1	xnli	zh	zh	refined	neutral	1670	1654	0	16	0	0.0000	1654	16	0	0	0	0
baseline	none	2	xnli	en	en	refined	entailment	1670	206	512	951	1	0.1234	1669	0	0	0	0	0
baseline	none	2	xnli	en	en	refined	contradiction	1670	10	376	1283	1	0.7683	1669	0	0	0	0	0
baseline	none	2	xnli	en	en	refined	neutral	1670	106	408	1156	0	0.2443	1670	0	0	0	0	0
baseline	none	2	xnli	en	es	refined	entailment	1670	425	921	313	11	0.2545	1624	35	0	0	0	0
baseline	none	2	xnli	en	es	refined	contradiction	1670	100	917	651	2	0.3898	1608	60	0	0	0	0
baseline	none	2	xnli	en	es	refined	neutral	1670	374	831	461	4	0.4976	1624	42	0	0	0	0
baseline	none	2	xnli	en	ur	refined	entailment	1670	258	379	326	707	0.1545	813	0	0	150	0	0
baseline	none	2	xnli	en	ur	refined	contradiction	1670	189	284	737	460	0.4413	1039	0	0	171	0	0
baseline	none	2	xnli	en	ur	refined	neutral	1670	346	302	517	505	0.1808	1009	0	0	156	0	0
baseline	none	2	xnli	en	zh	refined	entailment	1670	1426	20	26	198	0.8539	1149	13	9	301	9	9
baseline	none	2	xnli	en	zh	refined	contradiction	1670	1081	17	230	342	0.1377	998	55	12	263	12	12
baseline	none	2	xnli	en	zh	refined	neutral	1670	1424	16	30	200	0.0096	1173	13	9	275	9	9
baseline	none	2	xnli	es	en	refined	entailment	1670	215	540	896	19	0.1287	1650	1	0	0	0	0
baseline	none	2	xnli	es	en	refined	contradiction	1670	47	411	1202	10	0.7198	1659	1	0	0	0	0
baseline	none	2	xnli	es	en	refined	neutral	1670	127	417	1112	14	0.2497	1655	1	0	0	0	0
baseline	none	2	xnli	es	es	refined	entailment	1670	382	208	1050	30	0.2287	588	1052	0	0	0	0
baseline	none	2	xnli	es	es	refined	contradiction	1670	129	141	1393	7	0.8341	270	1393	0	0	0	0
baseline	none	2	xnli	es	es	refined	neutral	1670	325	114	1217	14	0.0683	439	1217	0	0	0	0
baseline	none	2	xnli	es	ur	refined	entailment	1670	387	121	855	307	0.2317	1337	0	0	26	0	0
baseline	none	2	xnli	es	ur	refined	contradiction	1670	261	61	1210	138	0.7246	1507	1	0	24	0	0
baseline	none	2	xnli	es	ur	refined	neutral	1670	406	66	1032	166	0.0395	1480	0	0	24	0	0
baseline	none	2	xnli	es	zh	refined	entailment	1670	829	26	54	761	0.4964	441	45	59	364	59	59
baseline	none	2	xnli	es	zh	refined	contradiction	1670	533	38	330	769	0.1976	378	128	54	341	54	54
baseline	none	2	xnli	es	zh	refined	neutral	1670	799	28	67	776	0.0168	451	53	52	338	52	52
baseline	none	2	xnli	ur	en	refined	entailment	1670	2	99	1534	35	0.0012	1635	0	0	0	0	0
baseline	none	2	xnli	ur	en	refined	contradiction	1670	0	63	1605	2	0.9611	1668	0	0	0	0	0
baseline	none	2	xnli	ur	en	refined	neutral	1670	3	75	1564	28	0.0449	1642	0	0	0	0	0
baseline	none	2	xnli	ur	es	refined	entailment	1670	239	113	548	770	0.1431	455	445	0	0	0	0
baseline	none	2	xnli	ur	es	refined	contradiction	1670	138	119	913	500	0.5467	489	681	0	0	0	0
baseline	none	2	xnli	ur	es	refined	neutral	1670	271	100	600	699	0.0599	498	473	0	0	0	0
baseline	none	2	xnli	ur	ur	refined	entailment	1670	1282	130	129	129	0.7677	1431	2	0	108	0	0
baseline	none	2	xnli	ur	ur	refined	contradiction	1670	1237	131	201	101	0.1204	1452	2	0	115	0	0
baseline	none	2	xnli	ur	ur	refined	neutral	1670	1339	134	99	98	0.0802	1451	2	0	119	0	0
baseline	none	2	xnli	ur	zh	refined	entailment	1670	1020	16	1	633	0.6108	1007	2	6	22	6	6
baseline	none	2	xnli	ur	zh	refined	contradiction	1670	1002	16	5	647	0.0030	998	4	2	19	2	2
baseline	none	2	xnli	ur	zh	refined	neutral	1670	1081	16	0	573	0.0096	1064	3	10	20	10	10
baseline	none	2	xnli	zh	en	refined	entailment	1670	911	2	739	18	0.5455	1575	77	0	0	0	0
baseline	none	2	xnli	zh	en	refined	contradiction	1670	246	2	1418	4	0.8491	1599	67	0	0	0	0
baseline	none	2	xnli	zh	en	refined	neutral	1670	745	0	920	5	0.0000	1593	72	0	0	0	0
baseline	none	2	xnli	zh	es	refined	entailment	1670	1595	5	39	31	0.9551	1600	39	0	0	0	0
baseline	none	2	xnli	zh	es	refined	contradiction	1670	1381	46	224	19	0.1341	1427	224	0	0	0	0
baseline	none	2	xnli	zh	es	refined	neutral	1670	1606	3	40	21	0.0018	1609	40	0	0	0	0
baseline	none	2	xnli	zh	ur	refined	entailment	1670	1633	13	6	18	0.9778	1642	0	0	10	0	0
baseline	none	2	xnli	zh	ur	refined	contradiction	1670	1617	11	31	11	0.0186	1649	0	0	10	0	0
baseline	none	2	xnli	zh	ur	refined	neutral	1670	1642	10	6	12	0.0060	1649	0	0	9	0	0
baseline	none	2	xnli	zh	zh	refined	entailment	1670	911	23	99	637	0.5455	175	86	162	610	162	162
baseline	none	2	xnli	zh	zh	refined	contradiction	1670	520	12	330	808	0.1976	151	162	174	375	174	174
baseline	none	2	xnli	zh	zh	refined	neutral	1670	934	7	143	586	0.0042	174	127	199	584	199	199
condition-1-en-5k	123	1	xnli	en	en	refined	entailment	1670	1473	61	135	1	0.8820	1669	0	0	0	0	0
condition-1-en-5k	123	1	xnli	en	en	refined	contradiction	1670	473	117	1080	0	0.6467	1670	0	0	0	0	0
condition-1-en-5k	123	1	xnli	en	en	refined	neutral	1670	1305	61	304	0	0.0365	1670	0	0	0	0	0
condition-1-en-5k	123	1	xnli	en	es	refined	entailment	1670	1653	2	15	0	0.9898	1668	2	0	0	0	0
condition-1-en-5k	123	1	xnli	en	es	refined	contradiction	1670	1224	33	412	1	0.2467	1664	5	0	0	0	0
condition-1-en-5k	123	1	xnli	en	es	refined	neutral	1670	1631	0	39	0	0.0000	1670	0	0	0	0	0
condition-1-en-5k	123	1	xnli	en	ur	refined	entailment	1670	1537	17	115	1	0.9204	1668	0	0	1	0	0
condition-1-en-5k	123	1	xnli	en	ur	refined	contradiction	1670	1011	21	638	0	0.3820	1670	0	0	0	0	0
condition-1-en-5k	123	1	xnli	en	ur	refined	neutral	1670	1549	6	114	1	0.0036	1668	1	0	0	0	0
condition-1-en-5k	123	1	xnli	en	zh	refined	entailment	1670	1668	2	0	0	0.9988	1670	0	0	0	0	0
condition-1-en-5k	123	1	xnli	en	zh	refined	contradiction	1670	1660	7	3	0	0.0018	1670	0	0	0	0	0
condition-1-en-5k	123	1	xnli	en	zh	refined	neutral	1670	1670	0	0	0	0.0000	1670	0	0	0	0	0
condition-1-en-5k	123	1	xnli	es	en	refined	entailment	1670	1451	131	88	0	0.8689	1670	0	0	0	0	0
condition-1-en-5k	123	1	xnli	es	en	refined	contradiction	1670	612	292	766	0	0.4587	1670	0	0	0	0	0
condition-1-en-5k	123	1	xnli	es	en	refined	neutral	1670	1357	132	181	0	0.0790	1670	0	0	0	0	0
condition-1-en-5k	123	1	xnli	es	es	refined	entailment	1670	1536	3	131	0	0.9198	1539	131	0	0	0	0
condition-1-en-5k	123	1	xnli	es	es	refined	contradiction	1670	901	11	758	0	0.4539	912	758	0	0	0	0
condition-1-en-5k	123	1	xnli	es	es	refined	neutral	1670	1454	1	214	1	0.0006	1455	214	0	0	0	0
condition-1-en-5k	123	1	xnli	es	ur	refined	entailment	1670	1640	1	27	2	0.9820	1667	1	0	0	0	0
condition-1-en-5k	123	1	xnli	es	ur	refined	contradiction	1670	1520	10	140	0	0.0838	1669	1	0	0	0	0
condition-1-en-5k	123	1	xnli	es	ur	refined	neutral	1670	1647	0	22	1	0.0000	1668	1	0	0	0	0
condition-1-en-5k	123	1	xnli	es	zh	refined	entailment	1670	1669	1	0	0	0.9994	1670	0	0	0	0	0
condition-1-en-5k	123	1	xnli	es	zh	refined	contradiction	1670	1663	5	2	0	0.0012	1668	2	0	0	0	0
condition-1-en-5k	123	1	xnli	es	zh	refined	neutral	1670	1669	1	0	0	0.0006	1670	0	0	0	0	0
condition-1-en-5k	123	1	xnli	ur	en	refined	entailment	1670	1065	211	394	0	0.6377	1670	0	0	0	0	0
condition-1-en-5k	123	1	xnli	ur	en	refined	contradiction	1670	525	195	950	0	0.5689	1670	0	0	0	0	0
condition-1-en-5k	123	1	xnli	ur	en	refined	neutral	1670	995	177	498	0	0.1060	1670	0	0	0	0	0
condition-1-en-5k	123	1	xnli	ur	es	refined	entailment	1670	1613	0	57	0	0.9659	1666	4	0	0	0	0
condition-1-en-5k	123	1	xnli	ur	es	refined	contradiction	1670	1350	6	314	0	0.1880	1664	6	0	0	0	0
condition-1-en-5k	123	1	xnli	ur	es	refined	neutral	1670	1592	0	77	1	0.0000	1662	7	0	0	0	0
condition-1-en-5k	123	1	xnli	ur	ur	refined	entailment	1670	1652	0	13	5	0.9892	1663	2	0	0	0	0
condition-1-en-5k	123	1	xnli	ur	ur	refined	contradiction	1670	1636	7	23	4	0.0138	1665	1	0	0	0	0
condition-1-en-5k	123	1	xnli	ur	ur	refined	neutral	1670	1660	0	7	3	0.0000	1666	1	0	0	0	0
condition-1-en-5k	123	1	xnli	ur	zh	refined	entailment	1670	1665	5	0	0	0.9970	1670	0	0	0	0	0
condition-1-en-5k	123	1	xnli	ur	zh	refined	contradiction	1670	1656	13	1	0	0.0006	1669	1	0	0	0	0
condition-1-en-5k	123	1	xnli	ur	zh	refined	neutral	1670	1665	4	0	1	0.0024	1669	0	0	0	0	0
condition-1-en-5k	123	1	xnli	zh	en	refined	entailment	1670	1649	0	21	0	0.9874	1670	0	0	0	0	0
condition-1-en-5k	123	1	xnli	zh	en	refined	contradiction	1670	1286	9	375	0	0.2246	1670	0	0	0	0	0
condition-1-en-5k	123	1	xnli	zh	en	refined	neutral	1670	1631	0	39	0	0.0000	1670	0	0	0	0	0
condition-1-en-5k	123	1	xnli	zh	es	refined	entailment	1670	1670	0	0	0	1.0000	1670	0	0	0	0	0
condition-1-en-5k	123	1	xnli	zh	es	refined	contradiction	1670	1670	0	0	0	0.0000	1670	0	0	0	0	0
condition-1-en-5k	123	1	xnli	zh	es	refined	neutral	1670	1670	0	0	0	0.0000	1670	0	0	0	0	0
condition-1-en-5k	123	1	xnli	zh	ur	refined	entailment	1670	1667	0	3	0	0.9982	1670	0	0	0	0	0
condition-1-en-5k	123	1	xnli	zh	ur	refined	contradiction	1670	1643	2	25	0	0.0150	1670	0	0	0	0	0
condition-1-en-5k	123	1	xnli	zh	ur	refined	neutral	1670	1666	0	4	0	0.0000	1670	0	0	0	0	0
condition-1-en-5k	123	1	xnli	zh	zh	refined	entailment	1670	1645	0	24	1	0.9850	1645	24	0	0	0	0
condition-1-en-5k	123	1	xnli	zh	zh	refined	contradiction	1670	1651	0	19	0	0.0114	1651	19	0	0	0	0
condition-1-en-5k	123	1	xnli	zh	zh	refined	neutral	1670	1652	0	18	0	0.0000	1652	18	0	0	0	0
condition-1-en-5k	123	2	xnli	en	en	refined	entailment	1670	129	272	1266	3	0.0772	1667	0	0	0	0	0
condition-1-en-5k	123	2	xnli	en	en	refined	contradiction	1670	3	158	1508	1	0.9030	1669	0	0	0	0	0
condition-1-en-5k	123	2	xnli	en	en	refined	neutral	1670	41	175	1454	0	0.1048	1670	0	0	0	0	0
condition-1-en-5k	123	2	xnli	en	es	refined	entailment	1670	395	837	432	6	0.2365	1591	73	0	0	0	0
condition-1-en-5k	123	2	xnli	en	es	refined	contradiction	1670	72	755	843	0	0.5048	1549	121	0	0	0	0
condition-1-en-5k	123	2	xnli	en	es	refined	neutral	1670	326	724	618	2	0.4335	1572	96	0	0	0	0
condition-1-en-5k	123	2	xnli	en	ur	refined	entailment	1670	180	450	266	774	0.1078	734	0	0	162	0	0
condition-1-en-5k	123	2	xnli	en	ur	refined	contradiction	1670	134	330	650	556	0.3892	942	0	0	172	0	0
condition-1-en-5k	123	2	xnli	en	ur	refined	neutral	1670	246	383	447	594	0.2293	909	0	0	167	0	0
condition-1-en-5k	123	2	xnli	en	zh	refined	entailment	1670	1538	17	30	85	0.9210	1213	13	14	345	14	14
condition-1-en-5k	123	2	xnli	en	zh	refined	contradiction	1670	1196	17	313	144	0.1874	1097	60	13	356	13	13
condition-1-en-5k	123	2	xnli	en	zh	refined	neutral	1670	1531	10	46	83	0.0060	1244	13	11	319	11	11
condition-1-en-5k	123	2	xnli	es	en	refined	entailment	1670	144	308	1201	17	0.0862	1652	1	0	0	0	0
condition-1-en-5k	123	2	xnli	es	en	refined	contradiction	1670	32	191	1443	4	0.8641	1666	0	0	0	0	0
condition-1-en-5k	123	2	xnli	es	en	refined	neutral	1670	71	220	1369	10	0.1317	1659	1	0	0	0	0
condition-1-en-5k	123	2	xnli	es	es	refined	entailment	1670	359	197	1106	8	0.2150	556	1106	0	0	0	0
condition-1-en-5k	123	2	xnli	es	es	refined	contradiction	1670	116	115	1439	0	0.8617	231	1439	0	0	0	0
condition-1-en-5k	123	2	xnli	es	es	refined	neutral	1670	291	104	1270	5	0.0623	395	1270	0	0	0	0
condition-1-en-5k	123	2	xnli	es	ur	refined	entailment	1670	319	192	766	393	0.1910	1238	0	0	39	0	0
condition-1-en-5k	123	2	xnli	es	ur	refined	contradiction	1670	223	118	1130	199	0.6766	1425	0	0	46	0	0
condition-1-en-5k	123	2	xnli	es	ur	refined	neutral	1670	341	116	974	239	0.0695	1393	0	0	38	0	0
condition-1-en-5k	123	2	xnli	es	zh	refined	entailment	1670	1299	36	73	262	0.7778	646	51	62	649	62	62
condition-1-en-5k	123	2	xnli	es	zh	refined	contradiction	1670	855	38	461	316	0.2760	596	143	57	558	57	57
condition-1-en-5k	123	2	xnli	es	zh	refined	neutral	1670	1267	22	100	281	0.0132	653	53	51	632	51	51
condition-1-en-5k	123	2	xnli	ur	en	refined	entailment	1670	3	58	1571	38	0.0018	1632	0	0	0	0	0
condition-1-en-5k	123	2	xnli	ur	en	refined	contradiction	1670	0	32	1638	0	0.9808	1670	0	0	0	0	0
condition-1-en-5k	123	2	xnli	ur	en	refined	neutral	1670	4	32	1609	25	0.0192	1644	1	0	0	0	0
condition-1-en-5k	123	2	xnli	ur	es	refined	entailment	1670	425	209	940	96	0.2545	896	678	0	0	0	0
condition-1-en-5k	123	2	xnli	ur	es	refined	contradiction	1670	189	146	1297	38	0.7766	771	861	0	0	0	0
condition-1-en-5k	123	2	xnli	ur	es	refined	neutral	1670	420	181	1013	56	0.1084	889	725	0	0	0	0
condition-1-en-5k	123	2	xnli	ur	ur	refined	entailment	1670	1254	199	112	105	0.7509	1394	2	0	169	0	0
condition-1-en-5k	123	2	xnli	ur	ur	refined	contradiction	1670	1223	181	172	94	0.1030	1412	2	0	162	0	0
condition-1-en-5k	123	2	xnli	ur	ur	refined	neutral	1670	1308	192	74	96	0.1150	1400	2	0	172	0	0
condition-1-en-5k	123	2	xnli	ur	zh	refined	entailment	1670	1418	31	2	219	0.8491	1407	1	8	35	8	8
condition-1-en-5k	123	2	xnli	ur	zh	refined	contradiction	1670	1445	24	7	194	0.0042	1430	2	13	31	13	13
condition-1-en-5k	123	2	xnli	ur	zh	refined	neutral	1670	1471	10	0	189	0.0060	1443	1	16	21	16	16
condition-1-en-5k	123	2	xnli	zh	en	refined	entailment	1670	800	0	858	12	0.4790	1610	48	0	0	0	0
condition-1-en-5k	123	2	xnli	zh	en	refined	contradiction	1670	165	1	1501	3	0.8988	1637	30	0	0	0	0
condition-1-en-5k	123	2	xnli	zh	en	refined	neutral	1670	582	0	1083	5	0.0000	1629	36	0	0	0	0
condition-1-en-5k	123	2	xnli	zh	es	refined	entailment	1670	1614	5	32	19	0.9665	1619	32	0	0	0	0
condition-1-en-5k	123	2	xnli	zh	es	refined	contradiction	1670	1429	53	181	7	0.1084	1483	180	0	0	0	0
condition-1-en-5k	123	2	xnli	zh	es	refined	neutral	1670	1628	2	29	11	0.0012	1630	29	0	0	0	0
condition-1-en-5k	123	2	xnli	zh	ur	refined	entailment	1670	1634	11	7	18	0.9784	1643	0	0	9	0	0
condition-1-en-5k	123	2	xnli	zh	ur	refined	contradiction	1670	1611	9	40	10	0.0240	1653	0	0	7	0	0
condition-1-en-5k	123	2	xnli	zh	ur	refined	neutral	1670	1639	11	9	11	0.0066	1649	0	0	10	0	0
condition-1-en-5k	123	2	xnli	zh	zh	refined	entailment	1670	1023	26	158	463	0.6126	165	128	241	673	241	241
condition-1-en-5k	123	2	xnli	zh	zh	refined	contradiction	1670	617	15	445	593	0.2665	157	225	269	426	269	269
condition-1-en-5k	123	2	xnli	zh	zh	refined	neutral	1670	1037	6	219	408	0.0036	155	172	319	616	319	319
condition-1-en-5k	42	1	xnli	en	en	refined	entailment	1670	1487	54	128	1	0.8904	1669	0	0	0	0	0
condition-1-en-5k	42	1	xnli	en	en	refined	contradiction	1670	489	108	1073	0	0.6425	1670	0	0	0	0	0
condition-1-en-5k	42	1	xnli	en	en	refined	neutral	1670	1327	48	295	0	0.0287	1670	0	0	0	0	0
condition-1-en-5k	42	1	xnli	en	es	refined	entailment	1670	1648	1	21	0	0.9868	1669	1	0	0	0	0
condition-1-en-5k	42	1	xnli	en	es	refined	contradiction	1670	1178	35	456	1	0.2731	1666	3	0	0	0	0
condition-1-en-5k	42	1	xnli	en	es	refined	neutral	1670	1629	0	41	0	0.0000	1670	0	0	0	0	0
condition-1-en-5k	42	1	xnli	en	ur	refined	entailment	1670	1584	18	67	1	0.9485	1668	0	0	1	0	0
condition-1-en-5k	42	1	xnli	en	ur	refined	contradiction	1670	1130	23	517	0	0.3096	1670	0	0	0	0	0
condition-1-en-5k	42	1	xnli	en	ur	refined	neutral	1670	1599	6	64	1	0.0036	1669	0	0	0	0	0
condition-1-en-5k	42	1	xnli	en	zh	refined	entailment	1670	1668	2	0	0	0.9988	1670	0	0	0	0	0
condition-1-en-5k	42	1	xnli	en	zh	refined	contradiction	1670	1655	8	7	0	0.0042	1670	0	0	0	0	0
condition-1-en-5k	42	1	xnli	en	zh	refined	neutral	1670	1670	0	0	0	0.0000	1670	0	0	0	0	0
condition-1-en-5k	42	1	xnli	es	en	refined	entailment	1670	1464	120	86	0	0.8766	1670	0	0	0	0	0
condition-1-en-5k	42	1	xnli	es	en	refined	contradiction	1670	639	266	765	0	0.4581	1670	0	0	0	0	0
condition-1-en-5k	42	1	xnli	es	en	refined	neutral	1670	1385	104	181	0	0.0623	1670	0	0	0	0	0
condition-1-en-5k	42	1	xnli	es	es	refined	entailment	1670	1509	3	158	0	0.9036	1512	158	0	0	0	0
condition-1-en-5k	42	1	xnli	es	es	refined	contradiction	1670	844	13	813	0	0.4868	857	813	0	0	0	0
condition-1-en-5k	42	1	xnli	es	es	refined	neutral	1670	1423	1	245	1	0.0006	1424	245	0	0	0	0
condition-1-en-5k	42	1	xnli	es	ur	refined	entailment	1670	1642	1	25	2	0.9832	1667	1	0	0	0	0
condition-1-en-5k	42	1	xnli	es	ur	refined	contradiction	1670	1553	11	106	0	0.0635	1670	0	0	0	0	0
condition-1-en-5k	42	1	xnli	es	ur	refined	neutral	1670	1655	0	14	1	0.0000	1668	1	0	0	0	0
condition-1-en-5k	42	1	xnli	es	zh	refined	entailment	1670	1668	1	1	0	0.9988	1669	1	0	0	0	0
condition-1-en-5k	42	1	xnli	es	zh	refined	contradiction	1670	1658	7	5	0	0.0030	1665	5	0	0	0	0
condition-1-en-5k	42	1	xnli	es	zh	refined	neutral	1670	1669	1	0	0	0.0006	1670	0	0	0	0	0
condition-1-en-5k	42	1	xnli	ur	en	refined	entailment	1670	1162	168	340	0	0.6958	1670	0	0	0	0	0
condition-1-en-5k	42	1	xnli	ur	en	refined	contradiction	1670	629	163	878	0	0.5257	1670	0	0	0	0	0
condition-1-en-5k	42	1	xnli	ur	en	refined	neutral	1670	1102	138	430	0	0.0826	1670	0	0	0	0	0
condition-1-en-5k	42	1	xnli	ur	es	refined	entailment	1670	1619	0	51	0	0.9695	1669	1	0	0	0	0
condition-1-en-5k	42	1	xnli	ur	es	refined	contradiction	1670	1366	5	299	0	0.1790	1668	2	0	0	0	0
condition-1-en-5k	42	1	xnli	ur	es	refined	neutral	1670	1604	0	65	1	0.0000	1666	3	0	0	0	0
condition-1-en-5k	42	1	xnli	ur	ur	refined	entailment	1670	1653	0	12	5	0.9898	1663	2	0	0	0	0
condition-1-en-5k	42	1	xnli	ur	ur	refined	contradiction	1670	1637	9	20	4	0.0120	1665	1	0	0	0	0
condition-1-en-5k	42	1	xnli	ur	ur	refined	neutral	1670	1663	0	4	3	0.0000	1666	1	0	0	0	0
condition-1-en-5k	42	1	xnli	ur	zh	refined	entailment	1670	1659	10	1	0	0.9934	1669	1	0	0	0	0
condition-1-en-5k	42	1	xnli	ur	zh	refined	contradiction	1670	1649	19	2	0	0.0012	1668	2	0	0	0	0
condition-1-en-5k	42	1	xnli	ur	zh	refined	neutral	1670	1661	7	1	1	0.0042	1668	1	0	0	0	0
condition-1-en-5k	42	1	xnli	zh	en	refined	entailment	1670	1653	0	17	0	0.9898	1670	0	0	0	0	0
condition-1-en-5k	42	1	xnli	zh	en	refined	contradiction	1670	1319	8	343	0	0.2054	1670	0	0	0	0	0
condition-1-en-5k	42	1	xnli	zh	en	refined	neutral	1670	1638	0	32	0	0.0000	1670	0	0	0	0	0
condition-1-en-5k	42	1	xnli	zh	es	refined	entailment	1670	1670	0	0	0	1.0000	1670	0	0	0	0	0
condition-1-en-5k	42	1	xnli	zh	es	refined	contradiction	1670	1670	0	0	0	0.0000	1670	0	0	0	0	0
condition-1-en-5k	42	1	xnli	zh	es	refined	neutral	1670	1670	0	0	0	0.0000	1670	0	0	0	0	0
condition-1-en-5k	42	1	xnli	zh	ur	refined	entailment	1670	1668	0	2	0	0.9988	1670	0	0	0	0	0
condition-1-en-5k	42	1	xnli	zh	ur	refined	contradiction	1670	1647	3	20	0	0.0120	1670	0	0	0	0	0
condition-1-en-5k	42	1	xnli	zh	ur	refined	neutral	1670	1668	0	2	0	0.0000	1670	0	0	0	0	0
condition-1-en-5k	42	1	xnli	zh	zh	refined	entailment	1670	1627	0	43	0	0.9743	1627	43	0	0	0	0
