condition	seed	template	benchmark	data_lang	instr_lang	extractor	gold_category	n_gold	correct	acc_on_gold	pred_science_technology	pred_travel	pred_politics	pred_sports	pred_health	pred_entertainment	pred_geography	pred_none
baseline	none	1	sib200	es	es	refined	politics	30	28	0.9333	2	0	28	0	0	0	0	0
baseline	none	1	sib200	es	es	refined	sports	25	14	0.5600	7	1	1	14	2	0	0	0
baseline	none	1	sib200	es	es	refined	health	22	3	0.1364	17	0	1	1	3	0	0	0
baseline	none	1	sib200	es	es	refined	entertainment	19	13	0.6842	6	0	0	0	0	13	0	0
baseline	none	1	sib200	es	es	refined	geography	17	1	0.0588	14	2	0	0	0	0	1	0
baseline	none	1	sib200	es	ur	refined	science/technology	51	45	0.8824	45	2	4	0	0	0	0	0
baseline	none	1	sib200	es	ur	refined	travel	40	23	0.5750	6	23	4	0	0	4	0	3
baseline	none	1	sib200	es	ur	refined	politics	30	29	0.9667	0	1	29	0	0	0	0	0
baseline	none	1	sib200	es	ur	refined	sports	25	1	0.0400	3	0	6	1	0	0	0	15
baseline	none	1	sib200	es	ur	refined	health	22	7	0.3182	9	0	5	0	7	0	0	1
baseline	none	1	sib200	es	ur	refined	entertainment	19	1	0.0526	5	4	8	0	0	1	0	1
baseline	none	1	sib200	es	ur	refined	geography	17	3	0.1765	9	5	0	0	0	0	3	0
baseline	none	1	sib200	es	zh	refined	science/technology	51	51	1.0000	51	0	0	0	0	0	0	0
baseline	none	1	sib200	es	zh	refined	travel	40	23	0.5750	12	23	5	0	0	0	0	0
baseline	none	1	sib200	es	zh	refined	politics	30	29	0.9667	1	0	29	0	0	0	0	0
baseline	none	1	sib200	es	zh	refined	sports	25	18	0.7200	4	0	0	18	2	0	0	1
baseline	none	1	sib200	es	zh	refined	health	22	4	0.1818	14	0	1	1	4	0	0	2
baseline	none	1	sib200	es	zh	refined	entertainment	19	3	0.1579	12	0	4	0	0	3	0	0
baseline	none	1	sib200	es	zh	refined	geography	17	2	0.1176	12	3	0	0	0	0	2	0
baseline	none	1	sib200	ur	en	refined	science/technology	51	46	0.9020	46	0	0	0	0	2	0	3
baseline	none	1	sib200	ur	en	refined	travel	40	16	0.4000	11	16	2	0	5	2	4	0
baseline	none	1	sib200	ur	en	refined	politics	30	28	0.9333	2	0	28	0	0	0	0	0
baseline	none	1	sib200	ur	en	refined	sports	25	19	0.7600	2	0	0	19	4	0	0	0
baseline	none	1	sib200	ur	en	refined	health	22	15	0.6818	5	0	1	1	15	0	0	0
baseline	none	1	sib200	ur	en	refined	entertainment	19	15	0.7895	3	0	0	0	1	15	0	0
baseline	none	1	sib200	ur	en	refined	geography	17	9	0.5294	8	0	0	0	0	0	9	0
baseline	none	1	sib200	ur	es	refined	science/technology	51	50	0.9804	50	0	0	0	0	0	0	1
baseline	none	1	sib200	ur	es	refined	travel	40	14	0.3500	23	14	2	0	0	1	0	0
baseline	none	1	sib200	ur	es	refined	politics	30	24	0.8000	6	0	24	0	0	0	0	0
baseline	none	1	sib200	ur	es	refined	sports	25	14	0.5600	9	0	0	14	2	0	0	0
baseline	none	1	sib200	ur	es	refined	health	22	2	0.0909	15	0	1	0	2	0	0	4
baseline	none	1	sib200	ur	es	refined	entertainment	19	5	0.2632	14	0	0	0	0	5	0	0
baseline	none	1	sib200	ur	es	refined	geography	17	0	0.0000	16	1	0	0	0	0	0	0
baseline	none	1	sib200	ur	ur	refined	science/technology	51	47	0.9216	47	1	2	0	0	0	0	1
baseline	none	1	sib200	ur	ur	refined	travel	40	27	0.6750	11	27	1	0	0	1	0	0
baseline	none	1	sib200	ur	ur	refined	politics	30	26	0.8667	4	0	26	0	0	0	0	0
baseline	none	1	sib200	ur	ur	refined	sports	25	15	0.6000	6	0	0	15	0	0	0	4
baseline	none	1	sib200	ur	ur	refined	health	22	1	0.0455	16	0	3	1	1	0	0	1
baseline	none	1	sib200	ur	ur	refined	entertainment	19	1	0.0526	10	1	5	1	0	1	0	1
baseline	none	1	sib200	ur	ur	refined	geography	17	0	0.0000	15	2	0	0	0	0	0	0
baseline	none	1	sib200	ur	zh	refined	science/technology	51	51	1.0000	51	0	0	0	0	0	0	0
baseline	none	1	sib200	ur	zh	refined	travel	40	17	0.4250	21	17	1	0	0	1	0	0
baseline	none	1	sib200	ur	zh	refined	politics	30	21	0.7000	9	0	21	0	0	0	0	0
baseline	none	1	sib200	ur	zh	refined	sports	25	18	0.7200	7	0	0	18	0	0	0	0
baseline	none	1	sib200	ur	zh	refined	health	22	4	0.1818	15	0	1	1	4	0	0	1
baseline	none	1	sib200	ur	zh	refined	entertainment	19	3	0.1579	14	0	2	0	0	3	0	0
baseline	none	1	sib200	ur	zh	refined	geography	17	3	0.1765	13	1	0	0	0	0	3	0
baseline	none	1	sib200	zh	en	refined	science/technology	51	46	0.9020	46	1	0	0	0	0	0	4
baseline	none	1	sib200	zh	en	refined	travel	40	31	0.7750	4	31	0	0	3	0	2	0
baseline	none	1	sib200	zh	en	refined	politics	30	27	0.9000	1	1	27	0	0	0	1	0
baseline	none	1	sib200	zh	en	refined	sports	25	17	0.6800	1	1	0	17	5	0	1	0
baseline	none	1	sib200	zh	en	refined	health	22	18	0.8182	3	0	0	1	18	0	0	0
baseline	none	1	sib200	zh	en	refined	entertainment	19	14	0.7368	2	1	1	0	0	14	1	0
baseline	none	1	sib200	zh	en	refined	geography	17	8	0.4706	8	1	0	0	0	0	8	0
baseline	none	1	sib200	zh	es	refined	science/technology	51	51	1.0000	51	0	0	0	0	0	0	0
baseline	none	1	sib200	zh	es	refined	travel	40	20	0.5000	18	20	1	0	1	0	0	0
baseline	none	1	sib200	zh	es	refined	politics	30	26	0.8667	3	1	26	0	0	0	0	0
baseline	none	1	sib200	zh	es	refined	sports	25	12	0.4800	9	0	0	12	4	0	0	0
baseline	none	1	sib200	zh	es	refined	health	22	3	0.1364	17	0	1	1	3	0	0	0
baseline	none	1	sib200	zh	es	refined	entertainment	19	8	0.4211	10	0	1	0	0	8	0	0
baseline	none	1	sib200	zh	es	refined	geography	17	0	0.0000	16	1	0	0	0	0	0	0
baseline	none	1	sib200	zh	ur	refined	science/technology	51	44	0.8627	44	2	4	0	0	0	0	1
baseline	none	1	sib200	zh	ur	refined	travel	40	25	0.6250	7	25	1	0	0	3	0	4
baseline	none	1	sib200	zh	ur	refined	politics	30	29	0.9667	0	0	29	0	0	0	0	1
baseline	none	1	sib200	zh	ur	refined	sports	25	3	0.1200	3	1	1	3	0	0	0	17
baseline	none	1	sib200	zh	ur	refined	health	22	5	0.2273	10	0	5	0	5	0	0	2
baseline	none	1	sib200	zh	ur	refined	entertainment	19	2	0.1053	8	2	5	0	0	2	0	2
baseline	none	1	sib200	zh	ur	refined	geography	17	0	0.0000	9	8	0	0	0	0	0	0
baseline	none	1	sib200	zh	zh	refined	science/technology	51	50	0.9804	50	1	0	0	0	0	0	0
baseline	none	1	sib200	zh	zh	refined	travel	40	30	0.7500	9	30	1	0	0	0	0	0
baseline	none	1	sib200	zh	zh	refined	politics	30	28	0.9333	1	1	28	0	0	0	0	0
baseline	none	1	sib200	zh	zh	refined	sports	25	18	0.7200	3	1	2	18	1	0	0	0
baseline	none	1	sib200	zh	zh	refined	health	22	2	0.0909	15	0	2	1	2	0	0	2
baseline	none	1	sib200	zh	zh	refined	entertainment	19	6	0.3158	10	1	2	0	0	6	0	0
baseline	none	1	sib200	zh	zh	refined	geography	17	2	0.1176	13	2	0	0	0	0	2	0
baseline	none	2	sib200	en	en	refined	science/technology	51	50	0.9804	50	0	1	0	0	0	0	0
baseline	none	2	sib200	en	en	refined	travel	40	30	0.7500	7	30	3	0	0	0	0	0
baseline	none	2	sib200	en	en	refined	politics	30	30	1.0000	0	0	30	0	0	0	0	0
baseline	none	2	sib200	en	en	refined	sports	25	18	0.7200	1	2	3	18	1	0	0	0
baseline	none	2	sib200	en	en	refined	health	22	7	0.3182	12	0	2	1	7	0	0	0
baseline	none	2	sib200	en	en	refined	entertainment	19	2	0.1053	12	2	3	0	0	2	0	0
baseline	none	2	sib200	en	en	refined	geography	17	10	0.5882	6	1	0	0	0	0	10	0
baseline	none	2	sib200	en	es	refined	science/technology	51	51	1.0000	51	0	0	0	0	0	0	0
baseline	none	2	sib200	en	es	refined	travel	40	23	0.5750	16	23	1	0	0	0	0	0
baseline	none	2	sib200	en	es	refined	politics	30	24	0.8000	6	0	24	0	0	0	0	0
baseline	none	2	sib200	en	es	refined	sports	25	10	0.4000	11	0	1	10	3	0	0	0
baseline	none	2	sib200	en	es	refined	health	22	4	0.1818	17	0	1	0	4	0	0	0
baseline	none	2	sib200	en	es	refined	entertainment	19	1	0.0526	16	2	0	0	0	1	0	0
baseline	none	2	sib200	en	es	refined	geography	17	0	0.0000	16	1	0	0	0	0	0	0
baseline	none	2	sib200	en	ur	refined	science/technology	51	49	0.9608	49	0	0	0	0	0	0	2
baseline	none	2	sib200	en	ur	refined	travel	40	15	0.3750	8	15	2	0	0	1	0	14
baseline	none	2	sib200	en	ur	refined	politics	30	14	0.4667	0	0	14	0	0	0	0	16
baseline	none	2	sib200	en	ur	refined	sports	25	0	0.0000	3	0	4	0	0	0	0	18
baseline	none	2	sib200	en	ur	refined	health	22	1	0.0455	14	0	1	0	1	0	0	6
baseline	none	2	sib200	en	ur	refined	entertainment	19	2	0.1053	10	1	4	0	0	2	0	2
baseline	none	2	sib200	en	ur	refined	geography	17	0	0.0000	13	0	0	0	0	0	0	4
baseline	none	2	sib200	en	zh	refined	science/technology	51	48	0.9412	48	1	1	0	0	0	0	1
baseline	none	2	sib200	en	zh	refined	travel	40	30	0.7500	5	30	3	2	0	0	0	0
baseline	none	2	sib200	en	zh	refined	politics	30	30	1.0000	0	0	30	0	0	0	0	0
baseline	none	2	sib200	en	zh	refined	sports	25	22	0.8800	1	2	0	22	0	0	0	0
baseline	none	2	sib200	en	zh	refined	health	22	2	0.0909	18	0	1	1	2	0	0	0
baseline	none	2	sib200	en	zh	refined	entertainment	19	0	0.0000	12	3	3	0	0	0	0	1
baseline	none	2	sib200	en	zh	refined	geography	17	1	0.0588	15	1	0	0	0	0	1	0
baseline	none	2	sib200	es	en	refined	science/technology	51	50	0.9804	50	1	0	0	0	0	0	0
baseline	none	2	sib200	es	en	refined	travel	40	26	0.6500	8	26	6	0	0	0	0	0
baseline	none	2	sib200	es	en	refined	politics	30	30	1.0000	0	0	30	0	0	0	0	0
baseline	none	2	sib200	es	en	refined	sports	25	17	0.6800	3	1	2	17	2	0	0	0
baseline	none	2	sib200	es	en	refined	health	22	7	0.3182	13	0	1	1	7	0	0	0
baseline	none	2	sib200	es	en	refined	entertainment	19	1	0.0526	10	3	5	0	0	1	0	0
baseline	none	2	sib200	es	en	refined	geography	17	7	0.4118	9	1	0	0	0	0	7	0
baseline	none	2	sib200	es	es	refined	science/technology	51	51	1.0000	51	0	0	0	0	0	0	0
baseline	none	2	sib200	es	es	refined	travel	40	17	0.4250	19	17	4	0	0	0	0	0
baseline	none	2	sib200	es	es	refined	politics	30	21	0.7000	9	0	21	0	0	0	0	0
baseline	none	2	sib200	es	es	refined	sports	25	9	0.3600	14	0	0	9	2	0	0	0
baseline	none	2	sib200	es	es	refined	health	22	6	0.2727	14	0	1	1	6	0	0	0
baseline	none	2	sib200	es	es	refined	entertainment	19	1	0.0526	18	0	0	0	0	1	0	0
baseline	none	2	sib200	es	es	refined	geography	17	0	0.0000	16	1	0	0	0	0	0	0
baseline	none	2	sib200	es	ur	refined	science/technology	51	47	0.9216	47	1	0	0	0	0	0	3
baseline	none	2	sib200	es	ur	refined	travel	40	11	0.2750	9	11	0	0	0	0	0	20
baseline	none	2	sib200	es	ur	refined	politics	30	5	0.1667	0	0	5	0	0	0	0	25
baseline	none	2	sib200	es	ur	refined	sports	25	0	0.0000	4	0	2	0	0	0	0	19
baseline	none	2	sib200	es	ur	refined	health	22	0	0.0000	9	0	0	0	0	0	0	13
baseline	none	2	sib200	es	ur	refined	entertainment	19	0	0.0000	9	0	3	0	0	0	0	7
baseline	none	2	sib200	es	ur	refined	geography	17	0	0.0000	10	2	0	0	0	0	0	5
baseline	none	2	sib200	es	zh	refined	science/technology	51	50	0.9804	50	0	0	0	0	0	0	1
baseline	none	2	sib200	es	zh	refined	travel	40	24	0.6000	14	24	2	0	0	0	0	0
baseline	none	2	sib200	es	zh	refined	politics	30	30	1.0000	0	0	30	0	0	0	0	0
baseline	none	2	sib200	es	zh	refined	sports	25	17	0.6800	7	0	1	17	0	0	0	0
baseline	none	2	sib200	es	zh	refined	health	22	0	0.0000	16	0	3	1	0	0	0	2
baseline	none	2	sib200	es	zh	refined	entertainment	19	0	0.0000	12	1	6	0	0	0	0	0
baseline	none	2	sib200	es	zh	refined	geography	17	0	0.0000	15	1	1	0	0	0	0	0
baseline	none	2	sib200	ur	en	refined	science/technology	51	49	0.9608	49	0	2	0	0	0	0	0
baseline	none	2	sib200	ur	en	refined	travel	40	22	0.5500	7	22	10	0	0	0	1	0
baseline	none	2	sib200	ur	en	refined	politics	30	29	0.9667	1	0	29	0	0	0	0	0
baseline	none	2	sib200	ur	en	refined	sports	25	15	0.6000	4	1	3	15	2	0	0	0
baseline	none	2	sib200	ur	en	refined	health	22	10	0.4545	8	0	3	1	10	0	0	0
baseline	none	2	sib200	ur	en	refined	entertainment	19	3	0.1579	11	2	3	0	0	3	0	0
baseline	none	2	sib200	ur	en	refined	geography	17	11	0.6471	5	0	1	0	0	0	11	0
baseline	none	2	sib200	ur	es	refined	science/technology	51	48	0.9412	48	1	0	0	0	0	0	2
baseline	none	2	sib200	ur	es	refined	travel	40	31	0.7750	8	31	1	0	0	0	0	0
baseline	none	2	sib200	ur	es	refined	politics	30	25	0.8333	5	0	25	0	0	0	0	0
baseline	none	2	sib200	ur	es	refined	sports	25	14	0.5600	8	1	0	14	2	0	0	0
baseline	none	2	sib200	ur	es	refined	health	22	7	0.3182	14	0	1	0	7	0	0	0
baseline	none	2	sib200	ur	es	refined	entertainment	19	0	0.0000	15	3	0	0	0	0	0	1
baseline	none	2	sib200	ur	es	refined	geography	17	0	0.0000	12	5	0	0	0	0	0	0
baseline	none	2	sib200	ur	ur	refined	science/technology	51	45	0.8824	45	4	1	0	0	0	0	1
baseline	none	2	sib200	ur	ur	refined	travel	40	29	0.7250	6	29	2	0	0	1	0	2
baseline	none	2	sib200	ur	ur	refined	politics	30	25	0.8333	2	0	25	0	0	0	0	3
baseline	none	2	sib200	ur	ur	refined	sports	25	5	0.2000	4	2	0	5	0	0	0	14
baseline	none	2	sib200	ur	ur	refined	health	22	3	0.1364	14	0	3	1	3	0	0	1
baseline	none	2	sib200	ur	ur	refined	entertainment	19	1	0.0526	12	0	3	0	0	1	0	3
baseline	none	2	sib200	ur	ur	refined	geography	17	0	0.0000	9	6	0	0	0	0	0	2
baseline	none	2	sib200	ur	zh	refined	science/technology	51	48	0.9412	48	0	2	0	0	0	0	1
baseline	none	2	sib200	ur	zh	refined	travel	40	9	0.2250	23	9	8	0	0	0	0	0
baseline	none	2	sib200	ur	zh	refined	politics	30	28	0.9333	2	0	28	0	0	0	0	0
baseline	none	2	sib200	ur	zh	refined	sports	25	21	0.8400	4	0	0	21	0	0	0	0
baseline	none	2	sib200	ur	zh	refined	health	22	0	0.0000	18	0	2	1	0	0	0	1
baseline	none	2	sib200	ur	zh	refined	entertainment	19	2	0.1053	12	0	4	1	0	2	0	0
baseline	none	2	sib200	ur	zh	refined	geography	17	1	0.0588	16	0	0	0	0	0	1	0
baseline	none	2	sib200	zh	en	refined	science/technology	51	50	0.9804	50	1	0	0	0	0	0	0
baseline	none	2	sib200	zh	en	refined	travel	40	29	0.7250	6	29	4	0	0	0	1	0
baseline	none	2	sib200	zh	en	refined	politics	30	28	0.9333	0	1	28	0	0	0	1	0
baseline	none	2	sib200	zh	en	refined	sports	25	15	0.6000	3	0	2	15	4	0	1	0
baseline	none	2	sib200	zh	en	refined	health	22	7	0.3182	11	0	3	1	7	0	0	0
baseline	none	2	sib200	zh	en	refined	entertainment	19	4	0.2105	10	0	5	0	0	4	0	0
baseline	none	2	sib200	zh	en	refined	geography	17	9	0.5294	8	0	0	0	0	0	9	0
baseline	none	2	sib200	zh	es	refined	science/technology	51	48	0.9412	48	1	1	0	0	0	0	1
baseline	none	2	sib200	zh	es	refined	travel	40	24	0.6000	15	24	1	0	0	0	0	0
baseline	none	2	sib200	zh	es	refined	politics	30	27	0.9000	2	1	27	0	0	0	0	0
baseline	none	2	sib200	zh	es	refined	sports	25	10	0.4000	10	0	2	10	3	0	0	0
baseline	none	2	sib200	zh	es	refined	health	22	3	0.1364	18	0	1	0	3	0	0	0
baseline	none	2	sib200	zh	es	refined	entertainment	19	2	0.1053	13	1	2	0	0	2	0	1
baseline	none	2	sib200	zh	es	refined	geography	17	0	0.0000	16	1	0	0	0	0	0	0
baseline	none	2	sib200	zh	ur	refined	science/technology	51	46	0.9020	46	1	0	0	0	0	0	4
baseline	none	2	sib200	zh	ur	refined	travel	40	17	0.4250	5	17	2	0	0	0	0	16
baseline	none	2	sib200	zh	ur	refined	politics	30	12	0.4000	0	0	12	0	0	0	0	18
baseline	none	2	sib200	zh	ur	refined	sports	25	4	0.1600	1	0	1	4	0	0	0	19
baseline	none	2	sib200	zh	ur	refined	health	22	1	0.0455	5	0	2	0	1	0	0	14
baseline	none	2	sib200	zh	ur	refined	entertainment	19	1	0.0526	5	5	2	0	0	1	0	6
baseline	none	2	sib200	zh	ur	refined	geography	17	0	0.0000	9	2	1	0	0	0	0	5
baseline	none	2	sib200	zh	zh	refined	science/technology	51	47	0.9216	47	1	1	0	0	0	0	2
baseline	none	2	sib200	zh	zh	refined	travel	40	30	0.7500	9	30	1	0	0	0	0	0
baseline	none	2	sib200	zh	zh	refined	politics	30	29	0.9667	0	1	29	0	0	0	0	0
baseline	none	2	sib200	zh	zh	refined	sports	25	20	0.8000	2	1	1	20	0	0	1	0
baseline	none	2	sib200	zh	zh	refined	health	22	0	0.0000	18	0	1	1	0	0	0	2
baseline	none	2	sib200	zh	zh	refined	entertainment	19	1	0.0526	13	2	2	0	0	1	0	1
baseline	none	2	sib200	zh	zh	refined	geography	17	0	0.0000	15	2	0	0	0	0	0	0
condition-2-ur-5k	123	1	sib200	en	en	refined	science/technology	51	47	0.9216	47	0	0	0	0	1	0	3
condition-2-ur-5k	123	1	sib200	en	en	refined	travel	40	32	0.8000	8	32	0	0	0	0	0	0
condition-2-ur-5k	123	1	sib200	en	en	refined	politics	30	26	0.8667	3	0	26	0	0	0	1	0
condition-2-ur-5k	123	1	sib200	en	en	refined	sports	25	19	0.7600	0	2	0	19	3	1	0	0
condition-2-ur-5k	123	1	sib200	en	en	refined	health	22	14	0.6364	5	0	0	1	14	0	0	2
condition-2-ur-5k	123	1	sib200	en	en	refined	entertainment	19	11	0.5789	5	3	0	0	0	11	0	0
condition-2-ur-5k	123	1	sib200	en	en	refined	geography	17	7	0.4118	8	2	0	0	0	0	7	0
condition-2-ur-5k	123	1	sib200	en	ur	refined	science/technology	51	39	0.7647	39	0	0	0	0	0	0	12
condition-2-ur-5k	123	1	sib200	en	ur	refined	travel	40	26	0.6500	5	26	0	0	0	0	1	8
condition-2-ur-5k	123	1	sib200	en	ur	refined	politics	30	24	0.8000	0	0	24	0	0	0	1	5
condition-2-ur-5k	123	1	sib200	en	ur	refined	sports	25	17	0.6800	1	1	0	17	2	1	0	3
condition-2-ur-5k	123	1	sib200	en	ur	refined	health	22	3	0.1364	0	0	1	1	3	0	0	17
condition-2-ur-5k	123	1	sib200	en	ur	refined	entertainment	19	9	0.4737	4	1	0	0	0	9	0	5
condition-2-ur-5k	123	1	sib200	en	ur	refined	geography	17	6	0.3529	10	1	0	0	0	0	6	0
condition-2-ur-5k	123	1	sib200	es	en	refined	science/technology	51	38	0.7451	38	1	0	0	0	1	0	11
condition-2-ur-5k	123	1	sib200	es	en	refined	travel	40	31	0.7750	5	31	0	0	4	0	0	0
condition-2-ur-5k	123	1	sib200	es	en	refined	politics	30	27	0.9000	2	1	27	0	0	0	0	0
condition-2-ur-5k	123	1	sib200	es	en	refined	sports	25	18	0.7200	0	3	0	18	3	0	0	1
condition-2-ur-5k	123	1	sib200	es	en	refined	health	22	14	0.6364	5	0	1	1	14	0	0	1
condition-2-ur-5k	123	1	sib200	es	en	refined	entertainment	19	12	0.6316	5	2	0	0	0	12	0	0
condition-2-ur-5k	123	1	sib200	es	en	refined	geography	17	5	0.2941	10	2	0	0	0	0	5	0
condition-2-ur-5k	123	1	sib200	es	ur	refined	science/technology	51	41	0.8039	41	0	0	0	0	0	0	10
condition-2-ur-5k	123	1	sib200	es	ur	refined	travel	40	20	0.5000	6	20	0	0	0	0	2	12
condition-2-ur-5k	123	1	sib200	es	ur	refined	politics	30	24	0.8000	2	1	24	0	0	0	0	3
condition-2-ur-5k	123	1	sib200	es	ur	refined	sports	25	18	0.7200	1	1	2	18	2	0	0	1
condition-2-ur-5k	123	1	sib200	es	ur	refined	health	22	3	0.1364	0	0	1	1	3	0	0	17
condition-2-ur-5k	123	1	sib200	es	ur	refined	entertainment	19	7	0.3684	6	1	0	0	0	7	0	5
condition-2-ur-5k	123	1	sib200	es	ur	refined	geography	17	8	0.4706	9	0	0	0	0	0	8	0
condition-2-ur-5k	123	1	sib200	ur	en	refined	science/technology	51	44	0.8627	44	0	0	0	0	2	0	5
condition-2-ur-5k	123	1	sib200	ur	en	refined	travel	40	19	0.4750	17	19	2	0	2	0	0	0
condition-2-ur-5k	123	1	sib200	ur	en	refined	politics	30	24	0.8000	6	0	24	0	0	0	0	0
condition-2-ur-5k	123	1	sib200	ur	en	refined	sports	25	16	0.6400	5	0	0	16	4	0	0	0
condition-2-ur-5k	123	1	sib200	ur	en	refined	health	22	14	0.6364	6	0	1	0	14	0	0	1
condition-2-ur-5k	123	1	sib200	ur	en	refined	entertainment	19	14	0.7368	5	0	0	0	0	14	0	0
condition-2-ur-5k	123	1	sib200	ur	en	refined	geography	17	5	0.2941	12	0	0	0	0	0	5	0
condition-2-ur-5k	123	1	sib200	ur	ur	refined	science/technology	51	42	0.8235	42	0	0	0	0	0	0	9
condition-2-ur-5k	123	1	sib200	ur	ur	refined	travel	40	12	0.3000	13	12	1	0	0	0	0	14
condition-2-ur-5k	123	1	sib200	ur	ur	refined	politics	30	15	0.5000	9	0	15	0	0	0	0	6
condition-2-ur-5k	123	1	sib200	ur	ur	refined	sports	25	11	0.4400	7	1	0	11	2	0	0	4
condition-2-ur-5k	123	1	sib200	ur	ur	refined	health	22	2	0.0909	3	0	1	1	2	0	0	15
condition-2-ur-5k	123	1	sib200	ur	ur	refined	entertainment	19	3	0.1579	10	0	0	0	0	3	0	6
condition-2-ur-5k	123	1	sib200	ur	ur	refined	geography	17	5	0.2941	8	1	0	0	0	0	5	3
condition-2-ur-5k	123	1	sib200	zh	en	refined	science/technology	51	45	0.8824	45	1	0	0	0	0	0	5
condition-2-ur-5k	123	1	sib200	zh	en	refined	travel	40	31	0.7750	6	31	0	0	3	0	0	0
condition-2-ur-5k	123	1	sib200	zh	en	refined	politics	30	27	0.9000	2	1	27	0	0	0	0	0
condition-2-ur-5k	123	1	sib200	zh	en	refined	sports	25	17	0.6800	2	1	0	17	5	0	0	0
condition-2-ur-5k	123	1	sib200	zh	en	refined	health	22	15	0.6818	6	0	0	1	15	0	0	0
condition-2-ur-5k	123	1	sib200	zh	en	refined	entertainment	19	14	0.7368	4	1	0	0	0	14	0	0
condition-2-ur-5k	123	1	sib200	zh	en	refined	geography	17	2	0.1176	13	2	0	0	0	0	2	0
condition-2-ur-5k	123	1	sib200	zh	ur	refined	science/technology	51	40	0.7843	40	1	0	0	0	0	0	10
condition-2-ur-5k	123	1	sib200	zh	ur	refined	travel	40	32	0.8000	3	32	0	0	0	0	1	4
condition-2-ur-5k	123	1	sib200	zh	ur	refined	politics	30	26	0.8667	1	1	26	0	0	0	1	1
condition-2-ur-5k	123	1	sib200	zh	ur	refined	sports	25	20	0.8000	0	2	1	20	1	0	1	0
