benchmark	first_line	total	correct	wrong_label	parse_fail	multiline	n_cells	pred	match_via
xnli	تو پھر میں دیکھتا ہوں، میں جانتا ہوں	5	0	0	5	0	2		none
xnli	假设是前提的，因为假设是前提的	5	0	0	5	0	1		none
xnli	ہم سیکی فی فیتا اور ہر ممکن	5	0	0	5	0	2		none
xnli	ہم سب کچھ نہیں چاہتے جو ہم چاہتے	5	0	0	5	0	2		none
xnli	无	4	0	0	4	0	4		none
xnli	Entailment. La hipótesis se sigue de	4	0	4	0	0	1	entailment	english_substring
xnli	contradicción	4	3	1	0	0	3	contradiction	native_exact
xnli	یہ ایک نتیجہ ہے، کیونکہ یہ ایک پیش	4	0	0	4	0	2		none
xnli	对抗谎言	4	0	0	4	0	2		none
xnli	假设entails前提，因为它提供了关于前提	4	0	0	4	0	2		none
xnli	匹配	4	0	0	4	0	2		none
xnli	布瑞恩在德克萨斯布	4	0	0	4	0	2		none
xnli	包含	4	0	0	4	0	2		none
xnli	假设entails前提，因为它基于前提的	4	0	0	4	0	2		none
xnli	假设entails前提，因为它提供了一个解释	4	0	0	4	0	1		none
xnli	假设和前提是相同的。	4	0	0	4	0	3		none
xnli	假设是前提的延伸或扩展，假设	4	0	0	4	0	1		none
xnli	Implicación	4	2	2	0	0	2	entailment	native_exact
xnli	假设是中立的，因为它没有提供	4	1	3	0	0	1	neutral	native_substring
xnli	یہ ایک پیش گوئی ہے، ایک پیش گو	4	0	0	4	0	1		none
xnli	مکمل طور پر مرکزی یا مہذبی سی	4	0	0	4	0	2		none
xnli	ہم زیادہ سے زیادہ مقصد کا مقصد اور	4	0	0	4	0	2		none
xnli	ہم نے GAO میں بہتری کی ضرورت	4	0	0	4	0	2		none
xnli	ہم صرف یہ جاننے کی کوشش کر	4	0	0	4	0	2		none
xnli	ہم اچھے وکلاء کی تعلیم کو	4	0	0	4	0	2		none
xnli	انضمامیت	4	1	3	0	4	2	entailment	native_exact
xnli	premise اور hypothesis کے درمیان ایک واضح فرق ہے۔	4	0	0	4	0	1		none
xnli	平衡	3	0	0	3	0	3		none
xnli	Enlace	3	0	0	3	0	3		none
xnli	(الف) ہر d یا t کو ٹار	3	0	0	3	0	2		none
xnli	假设是前提的等同关系，因为假设	3	0	0	3	0	2		none
xnli	假设是中立的，因为它没有明确	3	1	2	0	0	3	neutral	native_substring
xnli	假设是前提的直接结果，因为假设中	3	0	0	3	0	2		none
xnli	前提和假设是回答的一部分，社会学	3	0	0	3	0	1		none
xnli	前提	3	0	0	3	1	2		none
xnli	前提和假设是两种不同的关系。ent	3	0	0	3	0	2		none
xnli	ہم وہاں جائیں گے۔	3	0	0	3	0	2		none
xnli	یہ ایک پیش کش ہے۔	3	0	0	3	0	2		none
xnli	Hypothesis: 100 barrels of gun	3	0	0	3	0	1		none
xnli	Hypothesis: Hage was interrogated by FBI	3	0	0	3	0	2		none
xnli	Hypothesis: Members of the Citywide Friends of	3	0	0	3	0	1		none
xnli	Premise اور Hypothesis کے درمیان کوئی واضح فرق	3	0	0	3	0	2		none
xnli	呃，	3	0	0	3	0	2		none
xnli	因此, 联邦机构需要重新评估其	3	0	0	3	0	2		none
xnli	或访问总审计局在世界各地的	3	0	0	3	0	2		none
xnli	假设是前提的延伸，假设是前提	3	0	0	3	0	1		none
xnli	1. entailment	3	2	1	0	3	2	entailment	english_substring
xnli	假设是前提的延伸或扩展，提供	3	0	0	3	0	1		none
xnli	假设entails前提，因为它表明前提是	3	0	0	3	0	1		none
xnli	肯定。	3	0	0	3	0	2		none
xnli	随附的是一张回复卡和信封	3	0	0	3	0	1		none
xnli	Con refuerzos, los españoles consiguieron establecer	3	0	0	3	0	1		none
xnli	Encarcelado	3	0	0	3	0	1		none
xnli	Dichos barcos fueron desarrollados para permitir el acceso	3	0	0	3	0	1		none
xnli	假设是前提的自然延伸，表明假设	3	0	0	3	0	1		none
xnli	假设是前提。	3	0	0	3	0	1		none
xnli	假设是肯定的。	3	0	0	3	0	1		none
xnli	假设entails 前提，因为它扩展了	3	0	0	3	0	1		none
xnli	اس کے پاس کوئی جواب نہیں ہے کیونکہ یہ سوال	3	0	0	3	0	1		none
xnli	hypothesis	3	0	0	3	1	1		none
xnli	Hypothesis: 100 barriles de	3	0	0	3	0	1		none
xnli	صرف وہی ایک لفظ جواب دیں۔	3	0	0	3	3	1		none
xnli	ہم اس ہی کو بچانا چاھتے	3	0	0	3	0	2		none
xnli	نوبت یہاں تک پہنچ گئی ہے کہ ایک	3	0	0	3	0	1		none
xnli	تو مجھے کل رقم لے کر حساب کرنا پرا	3	0	0	3	0	2		none
xnli	Aur ye tha, Use kabhi apne l	3	0	0	3	0	1		none
xnli	تو میں پسند کرتا ہوں، اوہ میرے خ	3	0	0	3	0	2		none
xnli	یہ ایک پیش گوئی ہے، کیونکہ اگر آپ	3	0	0	3	0	1		none
xnli	2.	3	0	0	3	0	1		none
xnli	یہ ایک پیش گوئی ہے، جو کہ ایک	3	0	0	3	0	1		none
xnli	تناسب میں سانس لینے کا دباؤ	3	0	0	3	0	2		none
xnli	یہ دونوں ایک دوسرے کو شامل کرتے ہیں، اس	3	0	0	3	0	1		none
xnli	اس کا مطلب ہے کہ نظام کے تمام آلو	3	0	0	3	0	1		none
xnli	اگر ہم سوچتے ہیں کہ ہم 1	3	0	0	3	0	1		none
xnli	مساوات کے بارے میں امریکی نقطہ	3	0	0	3	0	1		none
xnli	اس کے بعد میں نے کہا کہ، میں نے	3	0	0	3	0	1		none
xnli	یہ پیش گوئی ہے.	3	0	0	3	0	1		none
xnli	اس کے نتیجے میں، ہم یہ نتی	3	0	0	3	0	1		none
xnli	تخمینہ	3	0	0	3	3	2		none
xnli	اس انتخاب کا سامنا کرنا پڑا،مم	3	0	0	3	0	1		none
xnli	Tajziya kar ki email, hamain bat	3	0	0	3	0	2		none
xnli	اسامہ بن لادن اور القاعدہ	3	0	0	3	0	1		none
xnli	ہم آپ کو کمیونٹی کی تعلیم کے	3	0	0	3	0	2		none
xnli	اس کے علاوہ، انڈیانا کے	3	0	0	3	0	1		none
xnli	اس کا نام امالی ہے جس کے معنی امید	3	0	0	3	0	1		none
xnli	NEA survey ka aik hi sawal hah	3	0	0	3	0	2		none
xnli	جواب کا ایک حصہ، مجھے شک ہے، عمر	3	0	0	3	0	2		none
xnli	تو سلیٹ کے پاس کتنے قار	3	0	0	3	0	2		none
xnli	اس کے علاوہ، یہ صرف اس بات پر	3	0	0	3	0	1		none
xnli	اس کے سب سے اوپر، ہمارے پاس ناخ	3	0	0	3	0	1		none
xnli	[مکمل انصاف کے ساتھ، یہ کہا	3	0	0	3	0	1		none
xnli	مسٹر نیلڈز نے جواب دیا،	3	0	0	3	0	2		none
xnli	ہم آہنگی	3	0	0	3	3	1		none
xnli	غیر مبادلہ لین دین- ‎‎	3	0	0	3	0	1		none
xnli	غیر جانبداری اور رازداری کے تح	3	0	0	3	0	1		none
xnli	ہم نے ہر علمی شخص سے انٹرویو	3	0	0	3	0	1		none
xnli	داخل کرنے کے لئے تازہ ترین الفاظ	3	0	0	3	0	1		none
xnli	ہم اپنے گاؤں کے رابطے بہتر بنا	3	0	0	3	0	1		none
xnli	Neither.	2	0	0	2	0	1		none
xnli	Hypothesis، premise سے لازم آتی ہے۔	2	1	1	0	1	2	entailment	native_substring
xnli	Coniera is in the Atlantic Ocean.	2	0	0	2	0	2		none
xnli	Contradicción. La hipótesis contradice la	2	1	1	0	0	1	contradiction	native_substring
xnli	La implicación	2	1	1	0	2	1	entailment	native_substring
xnli	(جاری رکھنے سے پہلے، قار	2	0	0	2	0	2		none
xnli	假设是前提的自然延伸，提供了一个	2	0	0	2	0	2		none
xnli	假设是前提的矛盾，因为假设中提到	2	2	0	0	0	2	contradiction	native_substring
xnli	假设是前提的矛盾，因为它否定了	2	1	1	0	0	2	contradiction	native_substring
xnli	假设是前提的否定形式。	2	0	0	2	0	2		none
xnli	假设是前提的自然延伸，表明在	2	0	0	2	0	2		none
xnli	假设是前提的推论，因为它推	2	0	0	2	0	1		none
xnli	假设是前提的矛盾，因为它与前提	2	1	1	0	0	1	contradiction	native_substring
xnli	假设是前提的延伸或补充。假设	2	0	0	2	0	1		none
xnli	假设是前提的否定。假设表明，如果	2	0	0	2	0	2		none
xnli	1. 前提和假设之间存在ent	2	0	0	2	0	2		none
xnli	前提和假设是两种不同的关系。前提	2	0	0	2	0	2		none
xnli	Yes, that is correct.	2	0	0	2	0	2		none
xnli	比较前提和假设。	2	0	0	2	0	2		none
xnli	假设和前提是不同的。假设是关于	2	0	0	2	0	2		none
xnli	None of the houses, on the market currently,	2	0	0	2	0	2		none
xnli	Hypothesis: The military unit was named TX Amb	2	0	0	2	0	1		none
xnli	Hypothesis: My brother in law was in the	2	0	0	2	0	1		none
xnli	Hypothesis: Pachucas were young Chican	2	0	0	2	0	2		none
xnli	Hypothesis: La Delgadina is still present	2	0	0	2	0	1		none
xnli	Hypothesis: We can draw a conclusion from our	2	0	0	2	0	2		none
xnli	Hypothesis: We can draw a conclusion from the	2	0	0	2	0	2		none
xnli	The legal philosophy of the Confederacy triumphed	2	0	0	2	0	1		none
xnli	Hypothesis: Gehry is a happy person.	2	0	0	2	0	2		none
xnli	96 And parents and coaches who criticize rather	2	0	0	2	0	1		none
xnli	Hypothesis: Mies Van der Rohe designed	2	0	0	2	0	2		none
xnli	H. H. Richardson and his protege Charles F	2	0	0	2	0	1		none
xnli	Hypothesis: Both Colonel Bishop and Calver	2	0	0	2	0	2		none
xnli	Hypothesis: Miss Bishop walked through a group of	2	0	0	2	0	1		none
xnli	Your station is on the gun- deck.	2	0	0	2	0	1		none
xnli	Hypothesis: I will go ashore in the	2	0	0	2	0	1		none
xnli	New Brunswick was not a province in 1784	2	0	0	2	0	2		none
xnli	Hypothesis: Andrea Doria was a great admiral	2	0	0	2	0	2		none
xnli	Hypothesis: The summer season has the best ports	2	0	0	2	0	2		none
xnli	Nevada Fall is a crowded area.	2	0	0	2	0	2		none
xnli	Hypothesis: The 1896 Neo-Goth	2	0	0	2	0	1		none
xnli	یہ ایک غلطی ہے۔ premise اور hypothesis کے	2	0	0	2	0	2		none
xnli	See the list of beach highlights on pages 8	2	0	0	2	0	1		none
xnli	Hypothesis: The terrain is flat.	2	0	0	2	0	2		none
xnli	یہ ایک پیش کش ہے، جو ایک اصول	2	0	0	2	0	1		none
xnli	Hypothesis: Principle IV deals with capital development	2	0	0	2	0	1		none
xnli	Hypothesis: Allenbrand and Drews are getting	2	0	0	2	0	1		none
xnli	Hypothesis: Demographic data could be averaged.	2	0	0	2	0	1		none
xnli	Hypothesis: Hazmi and Mihdhar rented	2	0	0	2	0	2		none
xnli	Hypothesis: Binalshibh was interrogated	2	0	0	2	0	1		none
xnli	Hypothesis: The fire alarm was disabled due to	2	0	0	2	0	2		none
xnli	Hypothesis: Bandar al Hazmi came to the	2	0	0	2	0	2		none
xnli	1,0,0,0	2	0	0	2	0	2		none
xnli	Hypothesis: Dave sent John exactly one email on	2	0	0	2	0	2		none
xnli	Hypothesis: Ahmed al Ghamdi, Abdul	2	0	0	2	0	2		none
xnli	Hypothesis: Hazmi and Mihdhar are	2	0	0	2	0	2		none
xnli	Hypothesis: KSM was interrogated in	2	0	0	2	0	2		none
xnli	یہ پیش کش ہے۔	2	0	0	2	0	1		none
xnli	Hypothesis: The Humane Society helps animals live	2	0	0	2	0	2		none
xnli	یہ پیش کش ہے کہ ہم امریکیوں کو	2	0	0	2	0	1		none
xnli	Hypothesis: Eugene Debs was from Indiana.	2	0	0	2	0	2		none
xnli	ہم اچھے وکلا کی تعلیم کو	2	0	0	2	0	1		none
xnli	Your membership will provide you with admittance to	2	0	0	2	0	1		none
xnli	Hypothesis: The AMRA Annual Meeting was in	2	0	0	2	0	1		none
xnli	ہم سب گریجویٹس سے 1	2	0	0	2	0	1		none
xnli	Hypothesis: Brit Hume works for CNN.	2	0	0	2	0	2		none
xnli	Hypothesis: Talmudic has no problems	2	0	0	2	0	1		none
xnli	Hypothesis: Weisberg wrote about dogs.	2	0	0	2	0	2		none
xnli	Hypothesis: James Surowiecki's Money	2	0	0	2	0	1		none
xnli	یہ ایک انتہائی غیر معمولی اور غیر	2	0	0	2	0	2		none
xnli	Hypothesis: Michael Lewis wrote a book called Trail	2	0	0	2	0	2		none
xnli	Hypothesis: Glenn Loury is not your typical	2	0	0	2	0	2		none
xnli	De Kooning is old.	2	0	0	2	0	2		none
xnli	Third, even if we accept the conclusions, they	2	0	0	2	0	1		none
xnli	premise اور hypothesis کے درمیان فرق یہ ہے کہ premise	2	0	0	2	0	2		none
xnli	Hypothesis: Some ethnic groups have a lot of	2	0	0	2	0	2		none
xnli	Premise اور hypothesis کے درمیان کوئی واضح تعلق نہیں	2	0	0	2	0	1		none
xnli	cross- talk may at times resemble all three iron	2	0	0	2	0	1		none
xnli	Hypothesis: Honey can speak several accents.	2	0	0	2	0	2		none
xnli	See that curious little beast over there?	2	0	0	2	0	1		none
xnli	Hypothesis.	2	0	0	2	0	1		none
xnli	کچھ ناموں کی ایک منفرد آواز ہے	2	0	0	2	0	2		none
xnli	阻碍	2	0	0	2	0	2		none
xnli	有关详细信息, 请参阅//	2	0	0	2	0	1		none
xnli	非交换交易-损益	2	0	0	2	0	2		none
xnli	相匹配	2	0	0	2	0	2		none
xnli	呃，我不觉得这是一个我喜欢的	2	0	0	2	0	1		none
xnli	假设是entailment，因为假设是前提	2	0	0	2	0	1		none
xnli	前提和假设之间存在entailment关系	2	0	0	2	0	1		none
xnli	隐含	2	0	0	2	0	1		none
xnli	假设entails前提，因为它直接导致了	2	0	0	2	0	1		none
xnli	假设entails前提，因为假设提供了关于前提	2	0	0	2	0	2		none
xnli	假设entails前提，因为它暗示着前提	2	0	0	2	0	1		none
xnli	柯达伊·可人（柯达	2	0	0	2	0	2		none
xnli	前提和假设之间存在entailment。	2	0	0	2	0	1		none
xnli	假设和前提之间存在矛盾。	2	2	0	0	0	2	contradiction	native_substring
xnli	假设entails前提，因为它提供了一个合理的	2	0	0	2	0	1		none
xnli	因此我很高兴今天能邀请你成为	2	0	0	2	0	1		none
xnli	交叉谈话有时与所有三讽刺	2	0	0	2	0	1		none
xnli	关系: 矛盾	2	0	2	0	0	1	contradiction	native_substring
xnli	正如Black所言，公民的特	2	0	0	2	0	1		none
xnli	否则	2	0	0	2	0	1		none
xnli	此外，鉴于GAO的令人印象深刻	2	0	0	2	0	1		none
xnli	展望未来，约有三分之一	2	0	0	2	0	1		none
xnli	1. Entailment: Premise اور	2	2	0	0	0	1	entailment	english_substring
xnli	Conceder	2	0	0	2	0	1		none
xnli	En lo mío no he hecho nada de lo	2	0	0	2	0	1		none
xnli	En consecuencia, los responsables de la toma de decisiones	2	0	0	2	0	1		none
xnli	En consecuencia, las agencias federales deben volver a	2	0	0	2	0	1		none
xnli	Conclusión:	2	0	0	2	0	1		none
xnli	假设entails 前提，因为它提供了关于	2	0	0	2	0	1		none
xnli	假设是entailment，因为它意味着“	2	0	0	2	0	1		none
xnli	假设 entailment。假设是前提的	2	0	2	0	0	1	entailment	english_substring
xnli	Brian en Plano, Texas, ¿cómo estás	2	0	0	2	0	1		none
xnli	EE. UU. ya que Francia tiene una gama	2	0	0	2	0	1		none
xnli	假设是entailment，因为它暗示了	2	0	0	2	0	1		none
xnli	Premise: Mmm, ¿ninguno?	2	0	0	2	0	1		none
xnli	Hypothesis: Kennedy habló con los pilotos	2	0	0	2	0	1		none
xnli	Hypothesis: Las nubes moleculares son	2	0	0	2	0	1		none
xnli	فرضیہ	2	0	0	2	2	1		none
xnli	Hypothesis: La casa de Balzac y el	2	0	0	2	0	1		none
xnli	صحیح۔	2	0	0	2	0	1		none
xnli	فرضی: EE. UU. ya que Francia	2	0	0	2	0	1		none
xnli	اس کے لیے کوئی جواب نہیں ہے، کیونکہ یہ	2	0	0	2	0	1		none
xnli	فرضیہ: تقریبا 2.1	2	0	0	2	0	1		none
xnli	یہ بیان پیش کیا گیا ہے کہ کونڈلی	2	0	0	2	0	1		none
xnli	فرضی اور فرضی کے درمیان فرق یہ ہے	2	0	0	2	0	1		none
xnli	اس کے بعد، YMCA کا مقصد	2	0	0	2	0	1		none
xnli	اس کے پاس کوئی جواب نہیں ہے۔	2	0	0	2	0	2		none
xnli	Split Ends, tienda de cosmética, es	2	0	0	2	0	1		none
xnli	假设和前提是密切相关的概念。假设	2	0	0	2	0	1		none
xnli	ھمم، نہیں، سچ پوچھو تو	2	0	0	2	0	1		none
xnli	تو اس کی بہن کے شوہر بھی ہ	2	0	0	2	0	1		none
xnli	ہم نے انیس سو ساٹھ میں اپنی	2	0	0	2	0	2		none
xnli	یہ ایک پیش گوئی ہے۔	2	0	0	2	0	1		none
xnli	آپ کے پیش نظر اور فرض کے درمیان کوئی تعلق	2	0	0	2	0	1		none
xnli	آپ کے کتنے بچے ہیں؟	2	0	0	2	0	2		none
xnli	假设是entailment.	2	0	0	2	0	1		none
xnli	ہم ٹیکنالوجی بھرے مستقبل میں	2	0	0	2	0	2		none
xnli	ہم ٹیکنالوجی کو کامیاب ہونے	2	0	0	2	0	2		none
xnli	یہ ایک انتہائی واضح پیش گوئی ہے	2	0	0	2	0	1		none
xnli	ہم اپنی سیمولیشن سے ایک نتیجہ	2	0	0	2	0	2		none
xnli	ہم اپنی کمپیوٹر پر کی گئی س	2	0	0	2	0	2		none
xnli	ہم کوئی نتیجہ ماخوذ نہیں کر سکتے	2	0	0	2	0	2		none
xnli	گیلے بیک کے تجربے کی تف	2	0	0	2	0	1		none
xnli	اس کے اپنے آلات پر بائیں طرف، یہ	2	0	0	2	0	1		none
xnli	ایلوس یا لیپریکانز جن کا	2	0	0	2	0	1		none
xnli	假设是前提的，因为它依赖于前提	2	0	0	2	0	1		none
xnli	یہ اوقات کا مزہ تھا.	2	0	0	2	0	2		none
xnli	hamari biography ki trha aik khas badal	2	0	0	2	0	1		none
xnli	پیش گوئی	2	0	0	2	2	1		none
xnli	اس کے باوجود وہ باہر نہیں آ رہی	2	0	0	2	0	1		none
xnli	1. 1896 نوگو گوت	2	0	0	2	0	1		none
xnli	اگر آپ چائے کی تقریب سے منسل	2	0	0	2	0	1		none
xnli	مضبوطی کے ساتھ، ہسپان	2	0	0	2	0	1		none
xnli	اس کے نتیجے میں، حکومتی نم	2	0	0	2	0	1		none
xnli	اس کے مطابق، وفاقی ایجنسی	2	0	0	2	0	1		none
xnli	اس کے نتیجے میں، یہ نتیجہ	2	0	0	2	0	1		none
xnli	1. Section 3.2.9	2	0	0	2	0	1		none
xnli	اگرچہ سی آر تعلقات عام طور پر	2	0	0	2	0	1		none
xnli	ہم GAO میں بہتری کی ضرورت کے	2	0	0	2	0	2		none
xnli	اس ہائبریڈ /مخلوط	2	0	0	2	0	1		none
xnli	اس کی پیش گوئی ہے کہ جرمن حکومت	2	0	0	2	0	1		none
xnli	یہ ایک پیشنگوئی ہے.	2	0	0	2	0	1		none
xnli	1. 1998 mai Clarke nai aik	2	0	0	2	0	1		none
xnli	جبکہ وہ شہر بھر میں ساؤل	2	0	0	2	0	1		none
xnli	ہم نے ہر سوموار اور جمعہ کو ایک	2	0	0	2	0	2		none
