benchmark	first_line	total	correct	wrong_label	parse_fail	multiline	n_cells	pred	match_via
sib200	سیاست/تکنالوجی، سفر،	2	0	2	0	0	2	science/technology	rule_b
sib200	فن اور سائنس/تکنالوج	2	0	0	2	0	2		none
sib200	سیاحت/سائنس/تکنال	2	0	0	2	0	1		none
sib200	science/	1	1	0	0	0	1	science/technology	rule_a
sib200	تعلیم	1	0	0	1	0	1		none
sib200	صحافت/تکنالوجی	1	0	0	1	0	1		none
sib200	Entretenimiento	1	0	0	1	0	1		none
sib200	科学和技术	1	0	0	1	0	1		none
sib200	ٹیکس/ٹیکنالوجی	1	0	0	1	0	1		none
sib200	سیٹیکنیکل	1	0	0	1	0	1		none
sib200	فن اور تخلیق	1	0	0	1	1	1		none
sib200	کھیل/سرگرمی	1	0	0	1	1	1		none
sib200	Transportation	1	0	1	0	0	1	science/technology	rule_c
sib200	摄影/技术	1	0	0	1	0	1		none
sib200	transportation	1	0	1	0	0	1	science/technology	rule_c
sib200	戏剧	1	0	0	1	0	1		none
sib200	Salud y bienestar	1	0	0	1	0	1		none
sib200	فن اور تصویروں کا تخلیقی استعمال	1	0	0	1	0	1		none
sib200	حیات/تکنالوجی	1	0	0	1	1	1		none
sib200	سفر/تکنالوجی	1	0	0	1	1	1		none
sib200	Science/تکنالوجی	1	0	1	0	1	1	science/technology	rule_a
sib200	صحت/طب	1	0	0	1	0	1		none
sib200	狮群	1	0	0	1	0	1		none
sib200	公共交通	1	0	0	1	0	1		none
sib200	赌场	1	0	0	1	0	1		none
sib200	سفر و سیاحت	1	0	0	1	1	1		none
sib200	سیاست/سیاست	1	0	0	1	1	1		none
sib200	الرياضة/التكنولوجيا	1	0	0	1	1	1		none
sib200	طبیعیات/تکنالوجی	1	0	0	1	0	1		none
sib200	تعلیم و تربیت	1	0	0	1	1	1		none
sib200	فن اور ثقافت	1	0	0	1	0	1		none
sib200	علم و ٹیکنالوجی، سفر،	1	0	0	1	0	1		none
sib200	الجغرافيا	1	0	0	1	0	1		none
sib200	摄影/摄影	1	0	0	1	0	1		none
sib200	Tecnología	1	0	0	1	0	1		none
sib200	Salud y Bienestar	1	0	0	1	0	1		none
sib200	سفر/تفریح	1	0	0	1	0	1		none
sib200	قانون و ضابطہ	1	0	0	1	0	1		none
sib200	سیاست/دیپلومسی	1	0	0	1	1	1		none
sib200	بیماریوں کا پتہ	1	0	0	1	1	1		none
sib200	کتابیں/علم/تکنالوجی	1	0	0	1	0	1		none
sib200	سیٹیک/ٹیکنالوجی	1	0	0	1	0	1		none
sib200	تفریح اور سرگرمی	1	0	0	1	1	1		none
sib200	tecnología	1	0	0	1	0	1		none
sib200	انٹرنیٹ پراکسی	1	0	0	1	1	1		none
sib200	سونا	1	0	0	1	1	1		none
sib200	ٹرانسپورٹیشن/سائ	1	0	0	1	0	1		none
sib200	ٹرانسپورٹ اور پارکنگ	1	0	0	1	0	1		none
sib200	ٹرانسپورٹیشن	1	0	0	1	1	1		none
sib200	سیاست/خارجہ پالیسی	1	0	0	1	1	1		none
sib200	جنگ	1	0	0	1	1	1		none
sib200	ٹیکس/ٹیکس	1	0	0	1	0	1		none
sib200	تعمیر نو کی کوشش پر آزادانہ	1	0	0	1	0	1		none
sib200	سائتو کی زندگی اور کارکردگی کا	1	0	0	1	0	1		none
sib200	کھیل/ٹورنامنٹ	1	0	0	1	1	1		none
sib200	فلمی خاکے	1	0	0	1	1	1		none
sib200	ماحولیات	1	0	0	1	1	1		none
sib200	جاپان	1	0	0	1	0	1		none
sib200	جنوبی شیٹلینڈ جزیرے،	1	0	0	1	0	1		none
